Country,Year, CaseCount
Haiti,1970,41421
Haiti,1970,36045
Haiti,1970,27753
Haiti,1970,58809
Haiti,1970,112076
Haiti,1970,340311
Haiti,1970,179379
India,1990,841
India,1990,889
India,1990,4031
India,1990,6008
India,1990,5155
India,1990,2680
India,1990,2635
India,1990,1939
India,1990,3155
India,1990,4695
India,1990,2893
India,1990,3455
India,1990,4081
India,1990,4053
India,1990,3839
India,1990,7151
India,1990,2768
India,1990,4396
India,1990,3315
India,1990,4973
India,1990,12084
India,1990,6911
India,1990,6993
India,1990,3583
India,1990,5640
India,1990,17162
India,1990,11934
India,1990,4208
India,1990,5808
India,1990,2527
India,1990,8542
India,1990,4656
India,1990,4681
India,1990,8344
India,1990,5073
India,1990,10585
India,1991,8376
India,1991,14946
India,1991,22049
India,1991,30903
India,1991,41611
India,1991,20435
India,1991,71386
India,1991,15067
India,1991,19280
India,1991,22587
India,1991,13708
India,1991,13052
India,1991,42677
India,1991,53011
India,1991,44839
India,1991,51082
India,1991,47637
India,1991,14621
India,1991,14852
India,1991,66849
India,1991,54961
India,1991,39829
India,1991,23533
India,1991,22146
India,1991,213225
India,1991,101493
India,1991,86787
India,1991,625
Indonesia,1991,1007
Indonesia,1991,1338
Indonesia,1991,561
Indonesia,1991,66
Indonesia,1991,66
Indonesia,1991,47
Indonesia,1991,3564
Indonesia,1991,25
Indonesia,1991,6202
Indonesia,1991,155
Indonesia,1991,67
Indonesia,1991,50
Indonesia,1991,659
Indonesia,1991,11915
Indonesia,1991,4732
Indonesia,1991,7921
Indonesia,1991,13832
Indonesia,1991,10391
Indonesia,1991,18354
Indonesia,1991,5541
Indonesia,1991,18817
Indonesia,1991,10683
Indonesia,1991,17112
Indonesia,1991,41264
Indonesia,1991,48387
Indonesia,1991,41474
Indonesia,1991,52042
Indonesia,1991,44383
Indonesia,1991,23555
Indonesia,1991,5997
Indonesia,1992,627
Indonesia,1992,135
Indonesia,1992,700
Indonesia,1992,204
Indonesia,1992,326
Indonesia,1992,535
Indonesia,1992,428
Indonesia,1992,1742
Indonesia,1992,41
Mozambique,1997,883
Mozambique,1997,8739
Mozambique,1997,480
Mozambique,1997,1869
Mozambique,1997,647
Mozambique,1997,1279
Mozambique,1997,7430
Mozambique,1997,19679
Mozambique,1997,9087
Mozambique,1997,2622
Mozambique,1997,6306
Mozambique,1997,2226
Mozambique,1997,20080
Mozambique,1997,13758
Mozambique,1997,24375
Mozambique,1997,8794
Mozambique,1997,17649
Mozambique,1998,44329
Mozambique,1998,42672
Mozambique,1998,8739
Mozambique,1998,0
Mozambique,1998,692
Mozambique,1998,19803
Mozambique,1998,30802
Mozambique,1998,7847
Mozambique,1998,4152
Mozambique,1998,371
Mozambique,1998,1
Mozambique,1998,3
Mozambique,1998,521
Mozambique,1998,10745
Mozambique,1998,2301
Mozambique,1998,1753
Mozambique,1998,1212
Mozambique,1998,4564
Mozambique,1998,18
Mozambique,1998,3
Mozambique,1998,11
Mozambique,1998,1018
Mozambique,1998,453
Peru,2002,16
Peru,2002,494
Peru,2002,934
Peru,2002,1546
Peru,2002,41717
Peru,2002,3483
Peru,2002,4518
Peru,2002,22397
Peru,2002,23887
Peru,2002,72404
Peru,2002,242237
Peru,2002,322562
